t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,1702.9
20.0,0.0,0.0,,,,,0.0,0.0,1702.9
21.0,0.0,0.0,,,,,0.0,0.0,1702.9
22.0,0.0,0.0,,,,,0.0,0.0,1702.9
23.0,0.0,0.0,,,,,0.0,0.0,1702.9
24.0,0.0,0.0,,,,,0.0,0.0,1702.9
25.0,0.0,0.0,,,,,0.0,0.0,1702.9
26.0,0.0,3.4,,,,,0.0,0.0,1725.0
27.0,0.0,3.4,,,,,0.0,0.0,1725.0
28.0,0.0,3.4,,,,,0.0,0.0,1725.0
29.0,0.0,3.4,,,,,0.0,0.0,1725.0
30.0,0.0,3.4,,,,,0.0,0.0,1725.0
31.0,0.0,3.4,,,,,0.0,0.0,1725.0
32.0,0.0,3.4,,,,,0.0,0.0,1725.0
33.0,0.0,3.4,,,,,0.0,0.0,1725.0
34.0,0.0,3.4,,,,,0.0,0.0,1725.0
35.0,0.0,3.4,,,,,0.0,0.0,1725.0
36.0,0.0,3.4,,,,,0.0,0.0,1725.0
37.0,0.0,3.4,,,,,0.0,0.0,1725.0
38.01,0.0,3.4,,,,,0.0,0.0,1725.0
39.01,0.0,3.4,,,,,0.0,0.0,1725.0
40.01,0.0,3.4,,,,,0.0,0.0,1725.0
41.01,0.0,3.4,,,,,0.0,0.0,1725.0
42.01,0.0,3.4,,,,,0.0,0.0,1725.0
43.01,0.0,3.4,,,,,0.0,0.0,1725.0
44.01,0.0,3.4,,,,,0.0,0.0,1725.0
45.01,0.0,3.4,,,,,0.0,0.0,1725.0
46.01,0.0,3.4,,,,,0.0,0.0,1725.0
47.01,0.0,3.4,,,,,0.0,0.0,1725.0
48.01,0.0,3.4,,,,,0.0,0.0,1725.0
49.01,0.0,3.4,,,,,0.0,0.0,1725.0
50.01,0.0,3.4,,,,,0.0,0.0,1725.0
51.01,0.0,3.4,,,,,0.0,0.0,1725.0
52.01,0.0,3.4,,,,,0.0,0.0,1725.0
53.01,0.0,3.4,,,,,0.0,0.0,1725.0
54.01,0.0,3.4,,,,,0.0,0.0,1725.0
55.01,0.0,3.4,,,,,0.0,0.0,1725.0
56.01,0.0,3.4,,,,,0.0,0.0,1725.0
57.01,0.0,3.4,,,,,0.0,0.0,1725.0
58.01,0.0,3.4,,,,,0.0,0.0,1725.0
59.01,0.0,3.4,,,,,0.0,0.0,1725.0
60.01,0.0,3.4,,,,,0.0,0.0,1725.0
61.01,0.0,3.4,,,,,0.0,0.0,1725.0
62.01,0.0,3.4,,,,,0.0,0.0,1725.0
63.01,0.0,3.4,,,,,0.0,0.0,1725.0
64.01,0.0,3.4,,,,,0.0,0.0,1725.0
65.01,0.0,3.4,,,,,0.0,0.0,1725.0
66.01,0.0,3.4,,,,,0.0,0.0,1725.0
67.01,0.0,3.4,,,,,0.0,0.0,1725.0
68.01,0.0,3.4,,,,,0.0,0.0,1725.0
69.01,0.0,3.4,,,,,0.0,0.0,1725.0
70.01,0.0,3.4,,,,,0.0,0.0,1725.0
71.01,0.0,3.4,,,,,0.0,0.0,1725.0
72.01,0.0,3.4,,,,,0.0,0.0,1725.0
73.01,0.0,3.4,,,,,0.0,0.0,1725.0
74.01,0.0,3.4,,,,,0.0,0.0,1725.0
75.01,0.0,3.4,,,,,0.0,0.0,1725.0
76.01,0.0,3.4,,,,,0.0,0.0,1725.0
77.01,0.0,3.4,,,,,0.0,0.0,1725.0
78.01,0.0,3.4,,,,,0.0,0.0,1725.0
79.01,0.0,3.4,,,,,0.0,0.0,1725.0
80.01,0.0,3.4,,,,,0.0,0.0,1725.0
81.01,0.0,3.4,,,,,0.0,0.0,1725.0
82.01,0.0,3.4,,,,,0.0,0.0,1725.0
83.01,0.0,3.4,,,,,0.0,0.0,1725.0
84.01,0.0,3.4,,,,,0.0,0.0,1725.0
